FLOPs,Parameters,Tokens
1.840e+19,4.000e+08,7.700e+09
1.200e+20,1.000e+09,2.000e+10
1.320e+22,1.000e+10,2.195e+11
6.880e+23,6.700e+10,1.700e+12
4.540e+24,1.750e+11,4.300e+12
1.180e+25,2.800e+11,7.100e+12
4.190e+25,5.200e+11,1.340e+13
1.590e+26,1.000e+12,2.650e+13
1.750e+28,1.000e+13,2.920e+14
